2024-10-21T13:38:52.219-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.types.Decimal128 to class java.math.BigDecimal as reading converter
2024-10-21T13:38:52.221-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.math.BigInteger to class java.lang.String as writing converter
2024-10-21T13:38:52.222-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.String to class java.math.BigInteger as reading converter
2024-10-21T13:38:52.223-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.net.URL to class java.lang.String as writing converter
2024-10-21T13:38:52.223-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.String to class java.net.URL as reading converter
2024-10-21T13:38:52.223-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class java.lang.String as reading converter
2024-10-21T13:38:52.224-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.mongodb.core.query.Term to class java.lang.String as writing converter
2024-10-21T13:38:52.226-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.springframework.data.mongodb.core.script.NamedMongoScript to class org.bson.Document as writing converter
2024-10-21T13:38:52.226-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class org.bson.Document to class org.springframework.data.mongodb.core.script.NamedMongoScript as reading converter
2024-10-21T13:38:52.227-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.util.Currency to class java.lang.String as writing converter
2024-10-21T13:38:52.227-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.String to class java.util.Currency as reading converter
2024-10-21T13:38:52.229-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.util.concurrent.atomic.AtomicInteger to class java.lang.Integer as writing converter
2024-10-21T13:38:52.230-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.util.concurrent.atomic.AtomicLong to class java.lang.Long as writing converter
2024-10-21T13:38:52.231-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.Long to class java.util.concurrent.atomic.AtomicLong as reading converter
2024-10-21T13:38:52.231-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.data.convert.CustomConversions       : Adding converter from class java.lang.Integer to class java.util.concurrent.atomic.AtomicInteger as reading converter
